slug,title,description,body,type,topics,level,tradition,dateAdded,estMinutes,author,sourceUrl,sourceName
social-contract-theory,Social Contract Theory,"Introduces how Hobbes, Locke, and Rousseau each used the idea of an agreement among free persons to justify political authority, plus its Rawlsian revival.",,Explainer,Political Philosophy,Undergraduate,Modern,2025-02-25,25,IEP contributors,https://iep.utm.edu/soc-cont/,Internet Encyclopedia of Philosophy
philosophy-of-religion,Philosophy of Religion,"A broad overview of the field's core questions — religious language, arguments for God, the problem of evil, and religious diversity — aimed at newcomers.",,Explainer,Philosophy of Religion,Intro / High School,Contemporary,2025-03-02,25,IEP contributors,https://iep.utm.edu/religion/,Internet Encyclopedia of Philosophy
john-rawls-internet-encyclopedia-of-philosophy,John Rawls,Summarizes how A Theory of Justice revived social contract thinking to defend an egalitarian-liberal account of justice.,,Explainer,Political Philosophy,Undergraduate,Contemporary,2025-03-06,30,IEP contributors,https://iep.utm.edu/rawls/,Internet Encyclopedia of Philosophy
utilitarianism,Utilitarianism,"Mill's 1861 defense of the greatest-happiness principle, including his attempt to distinguish higher and lower pleasures against charges that utilitarianism is a ""pig philosophy.""",,Primary Text,Ethics,Undergraduate,Modern,2025-03-11,120,John Stuart Mill,https://www.gutenberg.org/ebooks/11224,Project Gutenberg
the-nicomachean-ethics,The Nicomachean Ethics,Aristotle's foundational treatise arguing that the good life consists in virtuous activity guided by practical wisdom rather than pleasure or duty alone.,,Primary Text,Ethics,Undergraduate,Ancient,2025-03-15,300,Aristotle (trans. W.D. Ross),https://www.gutenberg.org/ebooks/8438,Project Gutenberg
leviathan,Leviathan,"Hobbes's 1651 argument that only an absolute sovereign, authorized by mutual covenant, can rescue people from the violent ""state of nature.""",,Primary Text,Political Philosophy,Undergraduate,Modern,2025-03-20,400,Thomas Hobbes,https://www.gutenberg.org/ebooks/3207,Project Gutenberg
second-treatise-of-government,Second Treatise of Government,"Locke's case for government by consent, natural rights to life, liberty, and property, and the right of the people to resist a government that violates the trust.",,Primary Text,Political Philosophy,Undergraduate,Modern,2025-03-25,150,John Locke,https://www.gutenberg.org/ebooks/7370,Project Gutenberg
the-social-contract-discourses,The Social Contract & Discourses,"Rousseau's account of legitimate political authority as an expression of the ""general will,"" opening with his famous line that ""man is born free; and everywhere he is in chains.""",,Primary Text,Political Philosophy,Undergraduate,Modern,2025-03-29,200,Jean-Jacques Rousseau,https://www.gutenberg.org/ebooks/46333,Project Gutenberg
dialogues-concerning-natural-religion,Dialogues Concerning Natural Religion,"A three-way debate between Demea, Cleanthes, and Philo that stress-tests the design argument and other attempts to infer God's nature from the natural world.",,Primary Text,Philosophy of Religion,Undergraduate,Modern,2025-04-03,180,David Hume,https://www.gutenberg.org/ebooks/4583,Project Gutenberg
groundwork-for-the-metaphysic-of-morals,Groundwork for the Metaphysic of Morals,A modernized-English edition of Kant's 1785 text deriving the Categorical Imperative as the supreme principle of morality from reason alone.,,Primary Text,Ethics,Undergraduate,Modern,2025-04-07,150,Immanuel Kant (ed. Jonathan Bennett),https://www.earlymoderntexts.com/assets/pdfs/kant1785.pdf,Early Modern Texts
introduction-to-political-philosophy,Introduction to Political Philosophy,"A full 24-lecture Yale course moving from Plato and Aristotle's polis through Machiavelli, Hobbes, Locke, and Rousseau to Tocqueville on democracy.",,Lesson Plan,Political Philosophy,Undergraduate,Ancient,2025-04-12,1200,Steven B. Smith,https://oyc.yale.edu/political-science/plsc-114,Open Yale Courses
the-rawlsian-social-contract,The Rawlsian Social Contract,A single lecture unpacking Rawls's original position and veil of ignorance as a Kantian-style thought experiment for choosing principles of justice.,,Video,Political Philosophy,Undergraduate,Contemporary,2025-04-17,50,Ian Shapiro,https://oyc.yale.edu/political-science/plsc-118/lecture-16,Open Yale Courses
justice,Justice,"A full course syllabus, lecture notes, and assignments comparing utilitarianism, libertarianism, and egalitarian liberalism as rival theories of a just society.",,Lesson Plan,"Ethics, Political Philosophy",Undergraduate,Contemporary,2025-04-21,600,Lucas Stanczyk,https://ocw.mit.edu/courses/24-04j-justice-spring-2012/,MIT OpenCourseWare
justice-what-s-the-right-thing-to-do-the-moral-side-of-murder,Justice: What's The Right Thing To Do? — The Moral Side of Murder,"The opening lecture of Sandel's famous course, using the trolley problem and an 1884 shipwreck-cannibalism case to introduce students to utilitarian reasoning and its limits.",,Video,Ethics,Intro / High School,Contemporary,2025-04-26,55,Michael J. Sandel,https://justiceharvard.org/themoralsideofmurder/,Justice with Michael Sandel (Harvard)
utilitarianism-ethics-unwrapped,Utilitarianism,A brief animated explainer defining utilitarianism as the view that the morally right act maximizes overall well-being.,,Video,Ethics,Intro / High School,Modern,2025-04-30,5,Ethics Unwrapped / UT Austin,https://ethicsunwrapped.utexas.edu/glossary/utilitarianism,Ethics Unwrapped
virtue-ethics-ethics-unwrapped,Virtue Ethics,A short animated explainer introducing virtue ethics as a character-centered alternative to rule- and consequence-based moral theories.,,Video,Ethics,Intro / High School,Ancient,2025-05-05,5,Ethics Unwrapped / UT Austin,https://ethicsunwrapped.utexas.edu/glossary/virtue-ethics,Ethics Unwrapped
ethics-and-god-divine-command-theory-and-the-euthyphro-dilemma,Ethics and God: Divine Command Theory and the Euthyphro Dilemma,"A concise essay laying out divine command theory and Plato's Euthyphro dilemma — is something good because God commands it, or does God command it because it's good?",,Explainer,"Philosophy of Religion, Ethics",Intro / High School,Ancient,2025-05-10,10,Nathan Nobis,https://1000wordphilosophy.com/2025/11/22/divine-command-theory/,1000-Word Philosophy
the-problem-of-evil-is-suffering-evidence-that-there-is-not-a-god,The Problem of Evil: Is Suffering Evidence That There Is Not a God?,A brief essay explaining why suffering is taken as evidence against theism and surveying replies like the free-will defense and skeptical theism.,,Explainer,Philosophy of Religion,Intro / High School,Contemporary,2025-05-14,10,Thomas Metcalf,https://1000wordphilosophy.com/2014/04/07/the-problem-of-evil/,1000-Word Philosophy
consequentialism-and-utilitarianism,Consequentialism and Utilitarianism,"A short introduction distinguishing consequentialism generally from its best-known form, utilitarianism, and the ""greatest happiness"" standard.",,Explainer,Ethics,Intro / High School,Modern,2025-05-19,10,Shane Gronholz,https://1000wordphilosophy.com/2014/05/15/consequentialism/,1000-Word Philosophy
stephen-law-on-the-problem-of-evil,Stephen Law on the Problem of Evil,"Philosopher Stephen Law presents his ""evil god challenge,"" arguing it is just as hard to refute a wholly evil god as a wholly good one.",,Podcast,Philosophy of Religion,Undergraduate,Contemporary,2025-05-23,15,"Stephen Law, interviewed by Nigel Warburton & David Edmonds",https://philosophybites.com/podcast/stephen-law-on-the-problem-of-evil/,Philosophy Bites
jonathan-wolff-on-john-rawls-a-theory-of-justice,Jonathan Wolff on John Rawls' A Theory of Justice,Political philosopher Jonathan Wolff explains the original position and veil of ignorance and discusses key objections to Rawls's theory.,,Podcast,Political Philosophy,Undergraduate,Contemporary,2025-05-28,15,"Jonathan Wolff, interviewed by Nigel Warburton & David Edmonds",https://philosophybites.com/podcast/jonathan-wolff-on-john-rawls-a-theory-of-justice/,Philosophy Bites
the-ox-heard-round-the-world-thomas-aquinas,The Ox Heard Round the World: Thomas Aquinas,"An introduction to Aquinas's synthesis of Aristotle and Christian theology, including his Five Ways arguments for God's existence.",,Podcast,Philosophy of Religion,Undergraduate,Medieval,2025-06-02,25,Peter Adamson,https://historyofphilosophy.net/aquinas,History of Philosophy Without Any Gaps
john-rawls-his-life-and-theory-of-justice,John Rawls: His Life and Theory of Justice,"A critical review engaging Pogge's biography-plus-exposition of Rawls, focusing on disputes over whether the original position is too ""recipient-oriented.""",,Discussion Guide,Political Philosophy,Graduate / Advanced,Contemporary,2025-06-06,20,Arthur Kuflik,https://ndpr.nd.edu/reviews/john-rawls-his-life-and-theory-of-justice/,Notre Dame Philosophical Reviews
ethics-a-free-online-course,Ethics: A Free Online Course,"Points to a 32-lecture video course spanning egoism and Plato's contractarians through Aristotle, Aquinas, Kant, and utilitarianism.",,Lesson Plan,Ethics,Undergraduate,Ancient,2025-06-11,640,Gregory Sadler,https://www.openculture.com/ethics-a-free-course,Open Culture
the-republic,The Republic,Plato's dialogue constructing an ideal city to answer the question of what justice is and why it is worth pursuing for its own sake.,,Primary Text,Political Philosophy,Undergraduate,Ancient,2025-06-15,400,Plato (trans. Benjamin Jowett),https://archive.org/details/in.ernet.dli.2015.223393,Archive.org
just-war-theory-revisionists-vs-traditionalists,Just War Theory: Revisionists vs. Traditionalists,"A scholarly survey of the split between Walzer's traditionalist just war theory and the ""revisionist"" school that judges combatants by individual moral responsibility.",,Explainer,"Political Philosophy, Ethics",Graduate / Advanced,Contemporary,2025-06-20,45,Seth Lazar,https://philarchive.org/rec/LAZJWT,PhilArchive
kant-categorical-imperative,Kant: Categorical Imperative,"A curated bibliography page collecting scholarly articles on Kant's Categorical Imperative, useful as a jumping-off point for further reading.",,Explainer,Ethics,Graduate / Advanced,Modern,2025-06-25,20,PhilPapers editors,https://philpapers.org/browse/kant-categorical-imperative,PhilPapers
the-problem-of-evil-for-atheists,The Problem of Evil for Atheists,"An open-access book arguing that the problem of evil is not just a theist's problem — it also poses a challenge for atheists, pantheists, and other non-theistic worldviews.",,Primary Text,Philosophy of Religion,Graduate / Advanced,Contemporary,2025-06-29,300,Yujin Nagasawa,https://directory.doabooks.org/handle/20.500.12854/139008,Directory of Open Access Books (DOAB)
personal-identity,Personal Identity,"Surveys the different questions bundled under ""personal identity"" — what makes someone the same person over time — and compares psychological, biological, and narrative answers.",,Explainer,Metaphysics,Undergraduate,Analytic,2025-07-04,35,Eric T. Olson,https://plato.stanford.edu/entries/identity-personal/,Stanford Encyclopedia of Philosophy
identity-over-time,Identity Over Time,"Works through classic puzzles of persistence, including the Ship of Theseus, and the competing three-dimensionalist and four-dimensionalist replies to them.",,Explainer,Metaphysics,Undergraduate,Analytic,2025-07-08,30,André Gallois,https://plato.stanford.edu/entries/identity-time/,Stanford Encyclopedia of Philosophy
free-will,Free Will,"Maps the free will debate — libertarianism, hard determinism, and compatibilism — and the arguments each side uses against the others.",,Explainer,Metaphysics,Undergraduate,Analytic,2025-07-13,40,Timothy O'Connor & Christopher Evan Franklin,https://plato.stanford.edu/entries/freewill/,Stanford Encyclopedia of Philosophy
the-analysis-of-knowledge,The Analysis of Knowledge,"Traces the ""justified true belief"" account of knowledge, Gettier's famous counterexamples to it, and the main attempts to patch or replace the analysis.",,Explainer,Epistemology,Undergraduate,Analytic,2025-07-18,30,Jonathan Jenkins Ichikawa & Matthias Steup,https://plato.stanford.edu/entries/knowledge-analysis/,Stanford Encyclopedia of Philosophy
the-problem-of-induction,The Problem of Induction,"Lays out Hume's argument that inductive reasoning can't be rationally justified without circularity, plus later attempts to answer him.",,Explainer,Epistemology,Undergraduate,Analytic,2025-07-22,25,Leah Henderson,https://plato.stanford.edu/entries/induction-problem/,Stanford Encyclopedia of Philosophy
the-chinese-room-argument,The Chinese Room Argument,"Explains Searle's thought experiment against machine understanding and catalogs the major replies (systems, robot, brain simulator, and others).",,Explainer,Philosophy of Mind,Undergraduate,Analytic,2025-07-27,30,David Cole,https://plato.stanford.edu/entries/chinese-room/,Stanford Encyclopedia of Philosophy
dualism,Dualism,"Covers substance and property dualism as responses to the mind-body problem, along with the standard objections to each.",,Explainer,Philosophy of Mind,Undergraduate,Analytic,2025-07-31,35,Howard Robinson & Ralph Weir,https://plato.stanford.edu/entries/dualism/,Stanford Encyclopedia of Philosophy
qualia-the-knowledge-argument,Qualia: The Knowledge Argument,"Unpacks Frank Jackson's ""Mary's Room"" thought experiment about a color scientist who has never seen color, and what it's supposed to show about physicalism.",,Explainer,Philosophy of Mind,Undergraduate,Analytic,2025-08-05,25,Martine Nida-Rümelin & Donnchadh O Conaill,https://plato.stanford.edu/entries/qualia-knowledge/,Stanford Encyclopedia of Philosophy
aristotle-logic,Aristotle: Logic,"Walks through Aristotle's Organon and the categorical syllogism, showing how he tied argument validity to logical form rather than content.",,Explainer,Logic,Undergraduate,Ancient,2025-08-10,25,IEP contributors,https://iep.utm.edu/aristotle-logic/,Internet Encyclopedia of Philosophy
functionalism,Functionalism,"Introduces the view that mental states are defined by their causal role rather than their physical makeup, and why that helps with multiple realizability.",,Explainer,Philosophy of Mind,Undergraduate,Analytic,2025-08-14,20,Thomas Polger,https://iep.utm.edu/functism/,Internet Encyclopedia of Philosophy
validity-and-soundness,Validity and Soundness,"A short, worked-example guide to the difference between a valid argument and a sound one.",,Explainer,Logic,Intro / High School,Analytic,2025-08-19,10,IEP contributors,https://iep.utm.edu/val-snd/,Internet Encyclopedia of Philosophy
deductive-and-inductive-arguments,Deductive and Inductive Arguments,Compares deductive certainty with inductive probability using everyday example arguments.,,Explainer,Logic,Intro / High School,Analytic,2025-08-23,15,IEP contributors,https://iep.utm.edu/deductive-inductive-arguments/,Internet Encyclopedia of Philosophy
epistemology,Epistemology,"A broad-survey entry point into theory-of-knowledge questions: sources of knowledge, justification, and skepticism.",,Explainer,Epistemology,Undergraduate,Analytic,2025-08-28,35,IEP contributors,https://iep.utm.edu/epistemo/,Internet Encyclopedia of Philosophy
an-enquiry-concerning-human-understanding,An Enquiry Concerning Human Understanding,"Hume's own accessible restatement of his empiricist epistemology, including his argument against justifying induction.",,Primary Text,Epistemology,Undergraduate,Modern,2025-09-02,300,David Hume,https://www.gutenberg.org/ebooks/9662,Project Gutenberg
a-system-of-logic-ratiocinative-and-inductive,"A System of Logic, Ratiocinative and Inductive","Mill's 1843 treatise laying out his ""methods"" of inductive inference and a full account of logic as applied to scientific reasoning.",,Primary Text,Logic,Undergraduate,Modern,2025-09-06,500,John Stuart Mill,https://www.gutenberg.org/ebooks/27942,Project Gutenberg
symbolic-logic,Symbolic Logic,"Carroll's playful, puzzle-driven introduction to categorical syllogisms and diagrammatic logic.",,Primary Text,Logic,Intro / High School,Modern,2025-09-11,180,Lewis Carroll,https://www.gutenberg.org/ebooks/28696,Project Gutenberg
meditations-on-first-philosophy,Meditations on First Philosophy,"A modernized-English edition of Descartes' six Meditations, tracking his method of doubt through to the cogito and the mind-body distinction.",,Primary Text,"Metaphysics, Epistemology",Undergraduate,Modern,2025-09-15,150,René Descartes (Jonathan Bennett rendering),https://www.earlymoderntexts.com/assets/pdfs/descartes1641.pdf,Early Modern Texts
three-dialogues-between-hylas-and-philonous,Three Dialogues Between Hylas and Philonous,Berkeley's dialogue defending idealism — the claim that to be is to be perceived — against a materialist interlocutor.,,Primary Text,"Metaphysics, Epistemology",Undergraduate,Modern,2025-09-20,120,George Berkeley (Jonathan Bennett rendering),https://www.earlymoderntexts.com/assets/pdfs/berkeley1713.pdf,Early Modern Texts
logic-i,Logic I,"A full undergraduate course covering truth tables, formal derivations, and the soundness/completeness of propositional and predicate logic.",,Lesson Plan,Logic,Undergraduate,Analytic,2025-09-25,1800,Ephraim Glick,https://ocw.mit.edu/courses/24-241-logic-i-fall-2009/,MIT OpenCourseWare
theory-of-knowledge,Theory of Knowledge,"A semester-long epistemology course built around skeptical arguments (brain-in-a-vat, evil demon) and the responses to them.",,Lesson Plan,Epistemology,Undergraduate,Analytic,2025-09-29,1500,Declan Smithies,https://ocw.mit.edu/courses/24-211-theory-of-knowledge-spring-2014/,MIT OpenCourseWare
death,Death,"Roughly a third of this full lecture course is devoted to dualism vs. physicalism and competing theories of personal identity, before turning to the nature of death itself.",,Lesson Plan,"Metaphysics, Philosophy of Mind",Undergraduate,Analytic,2025-10-04,1300,Shelly Kagan,https://oyc.yale.edu/philosophy/phil-176,Open Yale Courses
the-gettier-problem-and-the-definition-of-knowledge,The Gettier Problem and the Definition of Knowledge,"A compact walkthrough of Gettier's counterexamples to ""knowledge = justified true belief"" and the fourth-condition fixes philosophers have proposed.",,Explainer,Epistemology,Intro / High School,Analytic,2025-10-08,10,Andrew Chapman,https://1000wordphilosophy.com/2014/04/10/the-gettier-problem/,1000-Word Philosophy
the-mind-body-problem-what-are-minds,The Mind-Body Problem: What Are Minds?,"Introduces dualism, identity theory, and functionalism as three competing answers to what minds fundamentally are.",,Explainer,Philosophy of Mind,Intro / High School,Analytic,2025-10-13,10,Jacob Berger,https://1000wordphilosophy.com/2024/02/03/mind-body-problem/,1000-Word Philosophy
free-will-and-free-choice,Free Will and Free Choice,"A short overview of libertarianism, hard determinism, and compatibilism as answers to whether free will is compatible with a determined universe.",,Explainer,Metaphysics,Intro / High School,Analytic,2025-10-18,10,Jonah Nagashima,https://1000wordphilosophy.com/2014/04/03/free-will-and-free-choice/,1000-Word Philosophy
the-gettier-problem-no-longer-a-problem,The Gettier Problem No Longer a Problem,"A magazine-style essay arguing that Gettier's original cases contain hidden flaws, offering a contrarian angle for classroom debate on the knowledge-analysis literature.",,Explainer,Epistemology,Undergraduate,Analytic,2025-10-22,15,Lukasz Lozanski,https://philosophynow.org/issues/63/The_Gettier_Problem_No_Longer_a_Problem,Philosophy Now
gary-hatfield-on-descartes-meditations,Gary Hatfield on Descartes' Meditations,"A conversation with a leading Descartes scholar on the structure and aims of the Meditations, including the doubt-based method and the mind-body split.",,Podcast,"Metaphysics, Epistemology",Undergraduate,Modern,2025-10-27,30,"Peter Adamson, with guest Gary Hatfield",https://historyofphilosophy.net/podcast/early-modern/france-and-netherlands/descartes-meditations-hatfield,History of Philosophy Without Any Gaps
christopher-shields-on-personal-identity,Christopher Shields on Personal Identity,Shields discusses Locke's memory theory and rival accounts of what makes someone the same person across time.,,Podcast,Metaphysics,Undergraduate,Analytic,2025-10-31,15,Christopher Shields,https://philosophybites.com/podcast/christopher-shields-on-personal-identity/,Philosophy Bites
ned-block-on-consciousness,Ned Block on Consciousness,"Block distinguishes phenomenal consciousness from cognitive access to it, using attention experiments and clinical cases as evidence.",,Podcast,Philosophy of Mind,Undergraduate,Analytic,2025-11-05,20,Ned Block,https://philosophybites.com/podcast/ned-block-on-consciousness/,Philosophy Bites
the-mind-body-problem-and-metaphysics,The Mind-Body Problem and Metaphysics,"A critical review of a recent book defending substance dualism via the conceivability argument, useful as a model of how professional philosophers evaluate a metaphysical thesis.",,Discussion Guide,"Philosophy of Mind, Metaphysics",Graduate / Advanced,Analytic,2025-11-10,20,Alin Cucu (reviewing Ralph Stefan Weir),https://ndpr.nd.edu/reviews/the-mind-body-problem-and-metaphysics/,Notre Dame Philosophical Reviews
organon-and-other-logical-works,Organon and Other Logical Works,"The full set of Aristotle's logical treatises — Categories, On Interpretation, Prior and Posterior Analytics, Topics, Sophistical Refutations — in one public-domain volume.",,Primary Text,Logic,Undergraduate,Ancient,2025-11-14,400,Aristotle (trans. W. D. Ross et al.),https://archive.org/details/AristotleOrganon,Archive.org
critique-of-pure-reason,Critique of Pure Reason,"Kant's attempt to fix the limits of what reason can know, reconciling rationalist and empiricist starting points through transcendental idealism.",,Primary Text,"Metaphysics, Epistemology",Graduate / Advanced,Modern,2025-11-19,1200,Immanuel Kant,https://archive.org/details/CritiqueOfPureReason_201304,Archive.org
symbolic-logic-a-free-online-course,Symbolic Logic: A Free Online Course,"A 15-lecture video course covering truth tables, truth trees, and formal derivation in propositional and first-order logic.",,Video,Logic,Undergraduate,Analytic,2025-11-23,450,John Sanders,https://www.openculture.com/symbolic-logic-a-free-online-course,Open Culture
experimental-metaphysics,Experimental Metaphysics,"An edited collection asking whether empirical, cognitive-science methods can inform classic metaphysical questions about free will, causation, and objects.",,Primary Text,Metaphysics,Graduate / Advanced,Analytic,2025-11-28,400,David Rose (ed.),https://directory.doabooks.org/handle/20.500.12854/70702,Directory of Open Access Books (DOAB)
introduction-to-philosophy-epistemology,Introduction to Philosophy: Epistemology,"An open-license textbook chapter set covering justification, skepticism, the value of knowledge, and social epistemology, written for first-year students.",,Primary Text,Epistemology,Undergraduate,Contemporary,2025-12-03,240,Brian C. Barnett (ed.),https://philpapers.org/archive/BARITP-2.pdf,PhilPapers
introduction-to-philosophy-logic,Introduction to Philosophy: Logic,"An open-license introductory logic textbook covering argument evaluation, formal logic basics, and informal fallacies.",,Primary Text,Logic,Undergraduate,Contemporary,2025-12-07,240,Benjamin Martin et al. (eds.),https://philarchive.org/archive/SHANAS-4,PhilArchive
beauty,Beauty,"A survey of philosophical theories of beauty, from classical objectivist accounts to modern subjectivist and relational views, tracing how the concept has been treated across the history of aesthetics.",,Explainer,Aesthetics,Undergraduate,Contemporary,2025-12-12,30,Crispin Sartwell,https://plato.stanford.edu/entries/beauty/,Stanford Encyclopedia of Philosophy
aesthetic-experience,Aesthetic Experience,"Examines what distinguishes an aesthetic experience from ordinary perception, and reviews competing theories about its role in defining art and artistic value.",,Explainer,Aesthetics,Undergraduate,Contemporary,2025-12-16,25,Antonia Peacocke,https://plato.stanford.edu/entries/aesthetic-experience/,Stanford Encyclopedia of Philosophy
aesthetics,Aesthetics,"A broad introduction to aesthetics as the philosophical study of beauty and art, covering major historical positions from the eighteenth century to the present.",,Explainer,Aesthetics,Intro / High School,Contemporary,2025-12-21,25,Barry Hartley Slater,https://iep.utm.edu/aesthetics/,Internet Encyclopedia of Philosophy
the-poetics,The Poetics,"Aristotle's foundational treatise on tragedy, epic poetry, and artistic imitation (mimesis), including his influential account of catharsis and dramatic structure.",,Primary Text,Aesthetics,Undergraduate,Ancient,2025-12-26,90,Aristotle (trans. S. H. Butcher),https://www.gutenberg.org/ebooks/1974,Project Gutenberg
critique-of-judgement,Critique of Judgement,"Kant's third critique, developing his theory of aesthetic judgment, the beautiful, and the sublime, and arguing that judgments of taste claim universal validity without relying on determinate concepts.",,Primary Text,Aesthetics,Graduate / Advanced,Modern,2025-12-30,600,Immanuel Kant (trans. J. H. Bernard),https://www.gutenberg.org/ebooks/48433,Project Gutenberg
of-the-standard-of-taste,Of the Standard of Taste,"Hume's 1757 essay arguing that although taste varies widely, some critical judgments about art are better grounded than others, based on the responses of experienced and unbiased critics.",,Primary Text,Aesthetics,Undergraduate,Modern,2026-01-04,30,David Hume (Jonathan Bennett rendering),https://www.earlymoderntexts.com/assets/pdfs/hume1757essay2.pdf,Early Modern Texts
studies-in-poetry-what-s-the-use-of-beauty,Studies in Poetry: What's the Use of Beauty?,"A full MIT course syllabus pairing poems with foundational aesthetic theory from Plato and Kant to twentieth-century critics, exploring whether recognizing beauty can shape moral character.",,Lesson Plan,Aesthetics,Undergraduate,Contemporary,2026-01-08,300,Noel Jackson / MIT,https://ocw.mit.edu/courses/21l-704-studies-in-poetry-whats-the-use-of-beauty-fall-2005/pages/syllabus/,MIT OpenCourseWare
definitions-of-art-what-is-art,Definitions of Art: What is Art?,"A short survey of competing definitions of art — representational, expressionist, formalist, and institutional theories — and the objections each faces.",,Explainer,Aesthetics,Intro / High School,Contemporary,2026-01-13,8,Brock Rough,https://1000wordphilosophy.com/2014/05/05/definitions-of-art/,1000-Word Philosophy
elisabeth-schellekens-dammann-on-disagreement-about-taste,Elisabeth Schellekens Dammann on Disagreement About Taste,A philosopher of aesthetics discusses why people disagree about matters of taste and whether such disagreements can ever really be resolved.,,Podcast,Aesthetics,Undergraduate,Contemporary,2026-01-18,15,"Elisabeth Schellekens Dammann, interviewed by Nigel Warburton",https://philosophybites.com/podcast/elisabeth-schellekens-dammann-on-disagreement-about-taste/,Philosophy Bites
aesthetics-and-nature,Aesthetics and Nature,A scholarly review of a book on the aesthetic appreciation of the natural environment and its role in arguments for wilderness preservation.,,Discussion Guide,Aesthetics,Graduate / Advanced,Contemporary,2026-01-22,20,Mara Miller (reviewing Glenn Parsons),https://ndpr.nd.edu/reviews/aesthetics-and-nature/,Notre Dame Philosophical Reviews
existentialism,Existentialism,"A comprehensive overview of existentialism, tracing its central commitments — concrete existence, freedom, and authenticity — through Kierkegaard, Heidegger, Sartre, and others.",,Explainer,Existentialism,Undergraduate,Continental,2026-01-27,40,Kevin Aho,https://plato.stanford.edu/entries/existentialism/,Stanford Encyclopedia of Philosophy
camus-albert,"Camus, Albert","An overview of Albert Camus's life and philosophy, focusing on his concept of the absurd and his famously ambivalent relationship to the existentialist label.",,Explainer,Existentialism,Undergraduate,Continental,2026-01-31,30,David Simpson,https://iep.utm.edu/albert-camus/,Internet Encyclopedia of Philosophy
kierkegaard-s-ren,"Kierkegaard, Søren","Introduces Kierkegaard's pseudonymous writings and key concepts such as anxiety, despair, and the leap of faith that shaped later existentialist thought.",,Explainer,Existentialism,Undergraduate,Continental,2026-02-05,30,William McDonald,https://iep.utm.edu/kierkega/,Internet Encyclopedia of Philosophy
